,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital,,
ebitdausd,-0.04,0.09,0.09,0.11,0.08,-0.02,0.00,-0.08,0.11,0.30,0.08,0.09,0.00,0.00,0.05,0.06,0.05,0.24,0.47,0.09,0.19,0.02,0.00,0.09,0.10,0.01,1.00,0.97,0.09,0.00,0.00,0.00,0.10,0.10,0.78,0.66,0.00,0.00,0.09,0.00,0.06,0.11,0.01,0.13,0.02,0.07,0.07,0.08,0.17,0.09,0.11,0.08,0.10,0.06,0.89,0.05,-0.03,0.01,0.05,-0.08,-0.09,-0.09,0.02,0.10,0.02,0.09,0.09,0.94,-0.03,0.05,0.01,0.11,0.10,0.10,0.02,0.00,0.00,#VALUE!,0.07,0.04,0.00,0.00,#VALUE!,0.12,0.17,0.09,0.80,0.07,0.01,0.01,0.00,0.01,0.27,0.11,-0.02,0.32,0.32,0.40,0.00,0.09,0.05,0.09,0.07,0.00,0.11,,
ebitusd,-0.03,0.08,0.08,0.10,0.07,-0.02,0.00,-0.08,0.11,0.30,0.08,0.10,0.00,0.00,0.05,0.05,0.04,0.23,0.40,0.08,0.21,0.01,0.00,0.10,0.10,0.01,0.97,1.00,0.10,0.00,0.01,0.00,0.09,0.09,0.72,0.65,0.00,0.00,0.09,0.00,0.06,0.10,0.01,0.11,0.01,0.07,0.07,0.08,0.17,0.08,0.11,0.07,0.09,0.05,0.88,0.05,-0.03,0.01,0.05,-0.07,-0.08,-0.08,0.02,0.09,0.01,0.10,0.10,0.98,-0.02,0.04,0.01,0.09,0.10,0.09,0.01,0.00,0.00,#VALUE!,0.06,0.04,0.00,0.00,#VALUE!,0.11,0.13,0.09,0.73,0.06,0.01,0.01,0.00,0.01,0.29,0.09,0.00,0.25,0.25,0.38,0.00,0.08,0.04,0.09,0.07,0.00,0.10,,
ebt,-0.02,0.66,0.64,0.76,0.63,0.00,0.00,-0.77,0.80,0.01,0.76,0.99,0.00,0.00,0.40,0.45,0.39,0.00,0.01,0.67,0.00,0.01,0.00,0.99,0.96,0.00,0.09,0.10,1.00,0.00,0.00,0.00,0.76,0.72,0.04,0.05,0.00,0.00,0.83,0.00,0.58,0.89,0.00,0.43,0.12,0.55,0.54,0.71,0.75,0.60,0.80,0.57,0.76,0.49,0.07,0.63,-0.11,0.52,0.52,-0.81,-0.84,-0.78,0.49,0.87,0.11,0.99,0.99,0.09,-0.01,0.45,0.00,0.48,0.97,0.77,0.00,0.00,0.00,#VALUE!,0.62,0.00,0.00,0.00,#VALUE!,0.82,0.95,0.82,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.68,-0.06,0.27,0.27,0.85,0.00,0.66,0.36,0.97,0.69,0.00,0.66,,
eps,0.00,0.00,0.00,0.00,0.00,0.01,-0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.98,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#VALUE!,0.00,0.00,-0.41,0.00,#VALUE!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,-0.85,0.00,0.00,0.00,0.00,-0.83,0.00,,
epsdil,0.00,0.00,0.00,0.00,0.00,0.01,-0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.30,0.00,0.00,0.00,0.00,0.01,0.00,0.98,1.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#VALUE!,0.00,0.00,-0.42,0.00,#VALUE!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,-0.87,0.00,0.00,0.00,0.00,-0.84,0.00,,
epsusd,0.00,0.00,0.00,0.00,0.00,0.01,-0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.29,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.98,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#VALUE!,0.00,0.00,-0.41,0.00,#VALUE!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,-0.85,0.00,0.00,0.00,0.00,-0.83,0.00,,
equity,-0.05,0.99,0.98,1.00,0.98,0.00,0.00,-0.95,0.99,0.02,0.99,0.69,0.00,0.00,0.88,0.90,0.87,0.01,0.02,0.98,0.01,0.02,0.00,0.82,0.90,0.00,0.10,0.09,0.76,0.00,0.00,0.00,1.00,1.00,0.06,0.05,0.00,0.00,0.68,0.00,0.92,0.96,0.00,0.64,0.68,0.95,0.94,0.96,0.87,0.86,0.84,0.96,0.99,0.92,0.08,0.34,-0.10,0.33,0.77,-0.90,-0.91,-0.95,0.65,0.96,0.60,0.65,0.65,0.07,-0.05,0.90,0.00,0.90,0.88,0.97,0.00,0.00,0.00,#VALUE!,0.97,0.00,0.00,0.00,#VALUE!,0.96,0.97,0.99,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.94,-0.08,0.36,0.36,0.88,0.00,0.98,0.87,0.89,0.96,0.00,0.89,,
equityavg,-0.05,0.99,0.99,0.99,0.99,0.00,0.00,-0.95,0.98,0.02,0.99,0.65,0.00,0.00,0.90,0.92,0.90,0.01,0.02,0.98,0.01,0.02,0.00,0.78,0.88,0.00,0.10,0.09,0.72,0.00,0.00,0.00,1.00,1.00,0.06,0.05,0.00,0.00,0.65,0.00,0.93,0.94,0.00,0.65,0.72,0.97,0.96,0.96,0.86,0.86,0.83,0.97,0.99,0.94,0.07,0.29,-0.10,0.29,0.78,-0.89,-0.89,-0.95,0.62,0.95,0.64,0.61,0.61,0.07,-0.05,0.92,0.00,0.92,0.85,0.97,0.00,0.00,0.00,#VALUE!,0.98,0.00,0.00,0.00,#VALUE!,0.95,0.97,0.98,0.06,0.07,0.00,0.00,0.00,0.00,0.00,0.94,-0.08,0.36,0.36,0.88,0.00,0.99,0.89,0.86,0.96,0.00,0.88,,
equityusd,-0.03,0.07,0.07,0.10,0.07,-0.06,0.00,-0.04,0.09,0.68,0.04,0.04,-0.01,0.01,0.04,0.06,0.05,0.55,0.39,0.05,0.62,0.02,0.00,0.04,0.05,0.01,0.78,0.72,0.04,0.00,0.00,0.00,0.06,0.06,1.00,0.72,-0.05,0.00,0.05,0.00,0.03,0.06,0.01,0.11,0.02,0.06,0.06,0.05,0.28,0.08,0.09,0.07,0.09,0.05,0.74,0.01,-0.03,-0.01,0.02,-0.04,-0.05,-0.05,0.00,0.05,0.02,0.04,0.04,0.69,-0.03,0.03,0.01,0.09,0.05,0.06,0.02,0.00,0.00,#VALUE!,0.04,0.13,0.00,0.00,#VALUE!,0.08,0.17,0.05,0.71,0.07,0.01,0.00,0.00,0.01,0.16,0.08,-0.01,0.31,0.32,0.40,0.00,0.07,0.03,0.04,0.04,0.00,0.11,,
ev,-0.03,0.06,0.06,0.08,0.06,-0.04,0.00,-0.04,0.07,0.53,0.04,0.05,-0.01,0.02,0.05,0.05,0.04,0.80,0.24,0.04,0.37,0.02,0.00,0.05,0.05,0.01,0.66,0.65,0.05,0.00,0.00,0.00,0.05,0.05,0.72,1.00,-0.25,0.01,0.05,0.00,0.03,0.06,0.01,0.08,0.01,0.06,0.06,0.04,0.28,0.07,0.10,0.07,0.08,0.05,0.74,0.02,-0.04,0.00,0.03,-0.04,-0.05,-0.05,0.00,0.05,0.01,0.05,0.05,0.63,-0.02,0.02,0.01,0.06,0.05,0.05,0.00,0.00,0.00,#VALUE!,0.04,0.21,0.00,0.00,#VALUE!,0.06,0.08,0.05,0.57,0.04,0.01,0.00,0.00,0.01,0.29,0.06,-0.02,0.25,0.25,0.38,0.00,0.06,0.03,0.05,0.04,0.00,0.08,,
evebit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,0.00,0.00,0.00,-0.01,-0.01,0.00,0.00,-0.33,0.00,0.00,-0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,-0.25,1.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,-0.06,0.00,0.00,-0.01,0.00,0.00,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.03,#VALUE!,0.00,0.00,0.00,0.00,#VALUE!,0.00,0.00,0.00,-0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,-0.03,-0.03,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
evebitda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.25,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.05,#VALUE!,0.00,0.00,0.00,-0.01,#VALUE!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
fcf,-0.03,0.62,0.63,0.71,0.60,0.00,0.00,-0.58,0.73,0.02,0.66,0.81,0.00,0.00,0.47,0.46,0.47,0.01,0.02,0.68,0.01,0.00,0.00,0.85,0.85,0.00,0.09,0.09,0.83,0.00,0.00,0.00,0.68,0.65,0.05,0.05,0.00,0.00,1.00,0.00,0.58,0.73,0.00,0.41,0.37,0.56,0.59,0.68,0.74,0.76,0.70,0.57,0.66,0.53,0.07,0.80,-0.12,0.50,0.28,-0.53,-0.68,-0.67,0.36,0.77,-0.10,0.80,0.80,0.08,-0.03,0.48,0.00,0.40,0.80,0.63,0.00,0.00,0.00,#VALUE!,0.59,0.00,0.00,0.00,#VALUE!,0.73,0.87,0.70,0.05,0.04,0.00,0.00,0.00,0.00,0.01,0.62,-0.06,0.26,0.26,0.83,0.00,0.62,0.32,0.83,0.58,0.00,0.77,,
fcfps,0.00,0.00,0.00,0.00,0.00,0.01,-0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.38,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#VALUE!,0.00,0.00,-0.41,0.00,#VALUE!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,-0.77,0.00,0.00,0.00,0.00,-0.80,0.00,,
fxusd,-0.02,0.94,0.94,0.92,0.94,0.00,0.00,-0.86,0.90,0.00,0.92,0.50,0.00,0.00,0.90,0.91,0.90,0.01,0.00,0.92,0.00,0.02,0.00,0.65,0.76,0.00,0.06,0.06,0.58,0.00,0.00,0.00,0.92,0.93,0.03,0.03,0.00,0.00,0.58,0.00,1.00,0.84,0.00,0.71,0.78,0.93,0.93,0.94,0.83,0.82,0.80,0.94,0.93,0.92,0.04,0.30,-0.14,0.33,0.70,-0.74,-0.75,-0.87,0.55,0.85,0.60,0.46,0.46,0.04,-0.13,0.90,0.00,0.91,0.71,0.89,0.00,0.00,0.00,#VALUE!,0.93,0.00,0.00,0.00,#VALUE!,0.87,0.40,0.90,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.92,-0.10,0.32,0.33,0.88,0.00,0.93,0.88,0.74,0.91,0.00,0.81,,
gp,-0.06,0.90,0.89,0.95,0.89,0.00,0.00,-0.96,0.96,0.01,0.96,0.84,0.00,0.00,0.72,0.76,0.71,0.01,0.02,0.90,0.00,0.01,0.00,0.92,0.96,0.00,0.11,0.10,0.89,0.00,0.00,0.00,0.96,0.94,0.06,0.06,0.00,0.00,0.73,0.00,0.84,1.00,0.00,0.64,0.47,0.83,0.82,0.91,0.88,0.74,0.92,0.85,0.96,0.79,0.09,0.45,-0.14,0.46,0.72,-0.91,-0.91,-0.96,0.56,0.98,0.49,0.81,0.81,0.09,-0.06,0.75,0.00,0.83,0.97,0.95,0.00,0.00,0.00,#VALUE!,0.87,0.00,0.00,0.00,#VALUE!,0.98,0.96,0.98,0.07,0.07,0.00,0.00,0.00,0.00,0.00,0.92,-0.08,0.35,0.35,0.88,0.00,0.90,0.72,0.96,0.92,0.00,0.82,,
grossmargin,0.00,0.00,0.00,0.00,0.00,-0.03,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.26,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,#VALUE!,0.00,0.00,0.00,-0.01,#VALUE!,0.00,0.00,0.00,-0.01,0.00,0.03,-0.01,0.01,0.27,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
intangibles,-0.11,0.62,0.63,0.66,0.61,0.00,0.00,-0.55,0.58,0.04,0.66,0.40,0.00,0.00,0.54,0.63,0.53,0.03,0.02,0.56,0.03,0.01,0.00,0.47,0.52,0.00,0.13,0.11,0.43,0.00,0.00,0.00,0.64,0.65,0.11,0.08,0.00,0.00,0.41,0.00,0.71,0.64,0.00,1.00,0.44,0.57,0.58,0.75,0.68,0.51,0.74,0.59,0.67,0.55,0.11,0.19,-0.43,0.31,0.58,-0.50,-0.50,-0.57,0.35,0.56,0.33,0.38,0.38,0.09,-0.33,0.49,0.00,0.75,0.52,0.69,0.00,0.00,0.00,#VALUE!,0.56,0.01,0.00,0.00,#VALUE!,0.72,0.71,0.66,0.10,0.17,0.00,0.00,0.00,0.00,0.03,0.83,-0.09,0.26,0.26,0.78,0.00,0.60,0.53,0.50,0.59,0.00,0.54,,
intexp,0.00,0.78,0.81,0.70,0.80,0.00,0.00,-0.55,0.66,0.00,0.67,0.03,0.00,0.00,0.93,0.87,0.94,0.01,0.00,0.78,0.00,0.01,0.00,0.23,0.39,0.00,0.02,0.01,0.12,0.00,0.00,0.00,0.68,0.72,0.02,0.01,0.00,0.00,0.37,0.00,0.78,0.47,0.00,0.44,1.00,0.86,0.88,0.71,0.57,0.79,0.43,0.85,0.68,0.90,0.01,0.08,-0.03,0.02,0.49,-0.39,-0.44,-0.60,0.38,0.55,0.57,-0.02,-0.02,0.00,-0.06,0.88,0.00,0.73,0.29,0.61,0.00,0.00,0.00,#VALUE!,0.81,0.00,0.00,0.00,#VALUE!,0.55,0.36,0.60,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.64,-0.06,0.24,0.24,0.44,0.00,0.79,0.86,0.35,0.68,0.00,0.69,,
invcap,-0.02,0.99,0.99,0.95,0.99,-0.01,0.00,-0.88,0.94,0.04,0.94,0.47,0.00,0.00,0.98,0.97,0.98,0.04,0.00,0.98,0.03,0.02,0.00,0.64,0.76,0.00,0.07,0.07,0.55,0.00,0.00,0.00,0.95,0.97,0.06,0.06,-0.01,0.00,0.56,0.00,0.93,0.83,0.00,0.57,0.86,1.00,1.00,0.93,0.82,0.89,0.73,1.00,0.95,1.00,0.06,0.22,-0.06,0.21,0.75,-0.79,-0.79,-0.89,0.62,0.87,0.67,0.42,0.42,0.05,-0.04,0.98,0.00,0.90,0.71,0.90,0.00,0.00,0.00,#VALUE!,0.99,0.00,0.00,0.00,#VALUE!,0.86,0.76,0.91,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.88,-0.08,0.34,0.34,0.87,0.00,0.99,0.96,0.74,0.94,0.00,0.86,,
invcapavg,-0.02,0.98,0.99,0.95,0.99,-0.01,0.00,-0.86,0.93,0.04,0.93,0.46,0.00,0.00,0.99,0.97,0.98,0.04,0.00,0.98,0.03,0.02,0.00,0.63,0.76,0.00,0.07,0.07,0.54,0.00,0.00,0.00,0.94,0.96,0.06,0.06,-0.01,0.00,0.59,0.00,0.93,0.82,0.00,0.58,0.88,1.00,1.00,0.93,0.82,0.90,0.72,1.00,0.94,1.00,0.06,0.25,-0.06,0.20,0.73,-0.76,-0.78,-0.88,0.60,0.86,0.64,0.41,0.41,0.05,-0.04,0.98,0.00,0.89,0.69,0.89,0.00,0.00,0.00,#VALUE!,0.99,0.01,0.00,0.00,#VALUE!,0.85,0.76,0.90,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.87,-0.08,0.34,0.34,0.87,0.00,0.98,0.95,0.73,0.93,0.00,0.87,,
inventory,-0.11,0.96,0.96,0.98,0.95,0.00,0.00,-0.88,0.95,0.01,0.97,0.64,0.00,0.00,0.87,0.91,0.87,0.01,0.00,0.93,0.00,0.01,0.00,0.77,0.86,0.00,0.08,0.08,0.71,0.00,0.00,0.00,0.96,0.96,0.05,0.04,0.00,0.00,0.68,0.00,0.94,0.91,0.00,0.75,0.71,0.93,0.93,1.00,0.89,0.86,0.87,0.94,0.97,0.91,0.06,0.38,-0.19,0.36,0.75,-0.82,-0.83,-0.90,0.62,0.91,0.52,0.61,0.61,0.06,-0.16,0.87,0.00,0.90,0.82,0.95,0.00,0.00,0.00,#VALUE!,0.93,0.00,0.00,0.00,#VALUE!,0.94,0.68,0.96,0.07,0.16,0.00,0.00,0.00,0.00,0.00,0.97,-0.09,0.34,0.34,0.88,0.00,0.95,0.84,0.84,0.93,0.00,0.87,,
investments,-0.03,0.86,0.86,0.95,0.90,-0.02,0.00,-0.82,0.89,0.33,0.88,0.70,0.00,0.01,0.74,0.81,0.78,0.32,0.03,0.84,0.31,0.01,0.00,0.80,0.85,0.00,0.17,0.17,0.75,0.00,0.00,0.00,0.87,0.86,0.28,0.28,-0.06,0.00,0.74,0.00,0.83,0.88,0.00,0.68,0.57,0.82,0.82,0.89,1.00,0.83,0.95,0.84,0.95,0.83,0.16,0.48,-0.14,0.42,0.61,-0.73,-0.76,-0.86,0.45,0.88,0.37,0.68,0.68,0.15,-0.16,0.72,0.00,0.77,0.83,0.88,0.00,0.00,0.00,#VALUE!,0.82,0.05,0.00,0.00,#VALUE!,0.89,0.41,0.89,0.14,0.01,0.00,0.00,0.00,0.00,0.02,0.87,-0.08,0.36,0.36,0.89,0.00,0.86,0.68,0.83,0.83,0.00,0.83,,
investmentsc,-0.02,0.88,0.89,0.88,0.88,-0.01,0.00,-0.69,0.87,0.07,0.83,0.54,0.00,0.00,0.87,0.86,0.87,0.07,0.03,0.88,0.01,0.02,0.00,0.68,0.77,0.00,0.09,0.08,0.60,0.00,0.00,0.00,0.86,0.86,0.08,0.07,0.00,0.00,0.76,0.00,0.82,0.74,0.00,0.51,0.79,0.89,0.90,0.86,0.83,1.00,0.62,0.88,0.84,0.88,0.07,0.39,-0.03,0.12,0.60,-0.68,-0.76,-0.74,0.68,0.78,0.31,0.50,0.50,0.07,-0.04,0.87,0.00,0.68,0.68,0.80,0.00,0.00,0.00,#VALUE!,0.88,0.00,0.00,0.00,#VALUE!,0.79,0.68,0.80,0.06,0.02,0.00,0.00,0.00,0.00,0.01,0.75,-0.06,0.31,0.31,0.86,0.00,0.88,0.76,0.75,0.78,0.00,0.91,,
investmentsnc,-0.02,0.80,0.79,0.85,0.78,0.00,0.00,-0.86,0.84,0.05,0.88,0.77,0.00,0.00,0.63,0.66,0.63,0.06,0.00,0.80,0.01,0.02,0.00,0.83,0.87,0.00,0.11,0.11,0.80,0.00,0.00,0.00,0.84,0.83,0.09,0.10,0.00,0.00,0.70,0.00,0.80,0.92,0.00,0.74,0.43,0.73,0.72,0.87,0.95,0.62,1.00,0.75,0.88,0.69,0.10,0.51,-0.19,0.57,0.61,-0.72,-0.73,-0.89,0.32,0.90,0.39,0.75,0.75,0.10,-0.22,0.62,0.00,0.79,0.87,0.89,0.00,0.00,0.00,#VALUE!,0.75,0.00,0.00,0.00,#VALUE!,0.91,0.58,0.91,0.07,0.01,0.00,0.00,0.00,0.00,0.02,0.90,-0.08,0.31,0.31,0.87,0.00,0.80,0.61,0.85,0.83,0.00,0.67,,
liabilities,-0.02,0.99,0.99,0.96,1.00,-0.01,0.00,-0.89,0.94,0.06,0.95,0.49,0.00,0.00,0.98,0.97,0.98,0.06,0.01,0.98,0.05,0.02,0.00,0.65,0.78,0.00,0.08,0.07,0.57,0.00,0.00,0.00,0.96,0.97,0.07,0.07,-0.01,0.00,0.57,0.00,0.94,0.85,0.00,0.59,0.85,1.00,1.00,0.94,0.84,0.88,0.75,1.00,0.96,0.99,0.06,0.24,-0.08,0.23,0.76,-0.79,-0.79,-0.90,0.61,0.88,0.67,0.44,0.44,0.05,-0.05,0.98,0.00,0.91,0.72,0.92,0.00,0.00,0.00,#VALUE!,0.99,0.01,0.00,0.00,#VALUE!,0.87,0.60,0.92,0.06,0.02,0.00,0.00,0.00,0.00,0.00,0.89,-0.08,0.35,0.35,0.88,0.00,0.99,0.95,0.76,0.95,0.00,0.85,,
liabilitiesc,-0.04,0.98,0.98,0.99,0.98,-0.01,0.00,-0.96,0.98,0.07,0.99,0.69,0.00,0.00,0.88,0.91,0.87,0.07,0.02,0.97,0.00,0.02,0.00,0.82,0.90,0.00,0.10,0.09,0.76,0.00,0.00,0.00,0.99,0.99,0.09,0.08,0.00,0.00,0.66,0.00,0.93,0.96,0.00,0.67,0.68,0.95,0.94,0.97,0.95,0.84,0.88,0.96,1.00,0.92,0.08,0.34,-0.14,0.35,0.80,-0.89,-0.88,-0.96,0.61,0.96,0.59,0.65,0.65,0.08,-0.07,0.89,0.00,0.90,0.87,0.99,0.00,0.00,0.00,#VALUE!,0.96,0.00,0.00,0.00,#VALUE!,0.96,0.75,0.99,0.07,0.05,0.00,0.00,0.00,0.00,0.00,0.95,-0.09,0.37,0.37,0.93,0.00,0.98,0.86,0.89,0.96,0.00,0.85,,
liabilitiesnc,-0.01,0.97,0.98,0.93,0.98,-0.01,0.00,-0.85,0.91,0.03,0.91,0.40,0.00,0.00,0.99,0.98,0.99,0.07,0.00,0.96,0.00,0.02,0.00,0.58,0.71,0.00,0.06,0.05,0.49,0.00,0.00,0.00,0.92,0.94,0.05,0.05,0.00,0.00,0.53,0.00,0.92,0.79,0.00,0.55,0.90,1.00,1.00,0.91,0.83,0.88,0.69,0.99,0.92,1.00,0.04,0.19,-0.06,0.18,0.73,-0.74,-0.75,-0.86,0.60,0.83,0.68,0.35,0.35,0.03,-0.04,0.99,0.00,0.89,0.65,0.87,0.00,0.00,0.00,#VALUE!,0.99,0.00,0.00,0.00,#VALUE!,0.81,0.57,0.87,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.85,-0.07,0.33,0.33,0.88,0.00,0.98,0.97,0.69,0.92,0.00,0.83,,
