,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital,,
marketcap,-0.02,0.07,0.07,0.08,0.06,-0.02,0.00,-0.06,0.09,0.33,0.06,0.07,-0.01,0.00,0.04,0.04,0.04,0.26,0.41,0.06,0.22,0.01,0.00,0.07,0.08,0.01,0.89,0.88,0.07,0.00,0.00,0.00,0.08,0.07,0.74,0.74,-0.01,0.00,0.07,0.00,0.04,0.09,0.01,0.11,0.01,0.06,0.06,0.06,0.16,0.07,0.10,0.06,0.08,0.04,1.00,0.04,-0.04,0.00,0.04,-0.06,-0.06,-0.07,0.00,0.07,0.02,0.07,0.07,0.87,-0.02,0.03,0.01,0.08,0.08,0.08,0.02,0.00,0.00,#VALUE!,0.05,0.15,0.00,0.00,#VALUE!,0.09,0.12,0.07,0.73,0.08,0.01,0.01,0.00,0.01,0.43,0.08,0.03,0.25,0.25,0.37,0.00,0.07,0.03,0.07,0.06,0.00,0.08,,
ncf,0.02,0.28,0.27,0.38,0.26,0.00,0.00,-0.29,0.41,0.01,0.33,0.64,0.00,0.00,0.15,0.12,0.15,0.00,0.00,0.35,0.01,-0.01,0.00,0.63,0.58,0.00,0.05,0.05,0.63,0.00,0.00,0.00,0.34,0.29,0.01,0.02,0.01,0.00,0.80,0.00,0.30,0.45,0.00,0.19,0.08,0.22,0.25,0.38,0.48,0.39,0.51,0.24,0.34,0.19,0.04,1.00,-0.14,0.70,-0.05,-0.17,-0.30,-0.38,0.22,0.48,-0.40,0.64,0.64,0.05,-0.01,0.16,0.00,0.11,0.55,0.27,0.00,0.00,0.00,#VALUE!,0.24,0.00,0.00,0.00,#VALUE!,0.43,-0.07,0.38,0.02,-0.02,0.00,0.00,0.00,0.00,0.01,0.30,-0.03,0.14,0.14,0.40,0.00,0.28,0.06,0.57,0.35,0.00,0.46,,
ncfbus,0.13,-0.09,-0.09,-0.12,-0.08,0.00,0.00,0.09,-0.10,0.00,-0.13,-0.11,0.00,0.00,-0.06,-0.14,-0.05,-0.01,0.00,-0.07,0.00,0.00,0.00,-0.11,-0.10,0.00,-0.03,-0.03,-0.11,0.00,0.00,0.00,-0.10,-0.10,-0.03,-0.04,0.00,0.00,-0.12,0.00,-0.14,-0.14,0.00,-0.43,-0.03,-0.06,-0.06,-0.19,-0.14,-0.03,-0.19,-0.08,-0.14,-0.06,-0.04,-0.14,1.00,-0.34,-0.41,0.05,-0.04,0.15,-0.01,-0.11,0.01,-0.11,-0.11,-0.03,0.02,-0.03,0.00,-0.18,-0.11,-0.13,0.00,0.00,0.00,#VALUE!,-0.06,0.00,0.00,0.00,#VALUE!,-0.17,-0.26,-0.13,-0.04,-0.26,0.00,0.00,0.00,0.00,-0.02,-0.22,0.03,-0.05,-0.05,-0.44,0.00,-0.08,-0.04,-0.10,-0.10,0.00,-0.05,,
ncfcommon,0.04,0.28,0.25,0.33,0.26,0.00,0.00,-0.42,0.35,0.00,0.37,0.52,0.00,0.00,0.13,0.17,0.12,0.00,-0.01,0.31,0.00,0.00,0.00,0.52,0.49,0.00,0.01,0.01,0.52,0.00,0.00,0.00,0.33,0.29,-0.01,0.00,0.00,0.00,0.50,0.00,0.33,0.46,0.00,0.31,0.02,0.21,0.20,0.36,0.42,0.12,0.57,0.23,0.35,0.18,0.00,0.70,-0.34,1.00,0.10,-0.25,-0.29,-0.46,0.06,0.48,0.00,0.53,0.53,0.01,-0.03,0.15,0.00,0.27,0.50,0.28,0.00,0.00,0.00,#VALUE!,0.23,0.00,0.00,0.00,#VALUE!,0.39,-0.14,0.41,0.00,-0.07,0.00,0.00,0.00,0.00,0.00,0.39,-0.04,0.13,0.13,0.43,0.00,0.27,0.14,0.49,0.43,0.00,0.21,,
ncfdebt,-0.01,0.77,0.77,0.76,0.77,0.00,0.00,-0.77,0.74,-0.01,0.79,0.47,0.00,0.00,0.70,0.80,0.69,0.00,0.00,0.71,-0.01,0.02,0.00,0.56,0.63,0.00,0.05,0.05,0.52,0.00,0.00,0.00,0.77,0.78,0.02,0.03,0.00,0.00,0.28,0.00,0.70,0.72,0.00,0.58,0.49,0.75,0.73,0.75,0.61,0.60,0.61,0.76,0.80,0.73,0.04,-0.05,-0.41,0.10,1.00,-0.81,-0.68,-0.73,0.59,0.70,0.66,0.43,0.43,0.03,0.03,0.72,0.00,0.73,0.63,0.82,0.00,0.00,0.00,#VALUE!,0.77,0.00,0.00,0.00,#VALUE!,0.72,0.14,0.77,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.73,-0.07,0.26,0.26,0.74,0.00,0.77,0.73,0.64,0.75,0.00,0.53,,
ncfdiv,0.01,-0.85,-0.83,-0.87,-0.84,0.00,0.00,0.92,-0.89,-0.01,-0.90,-0.76,0.00,0.00,-0.67,-0.75,-0.66,-0.01,0.00,-0.82,0.00,-0.02,0.00,-0.84,-0.87,0.00,-0.08,-0.07,-0.81,0.00,0.00,0.00,-0.90,-0.89,-0.04,-0.04,0.00,0.00,-0.53,0.00,-0.74,-0.91,0.00,-0.50,-0.39,-0.79,-0.76,-0.82,-0.73,-0.68,-0.72,-0.79,-0.89,-0.74,-0.06,-0.17,0.05,-0.25,-0.81,1.00,0.96,0.85,-0.69,-0.89,-0.60,-0.74,-0.74,-0.06,0.00,-0.74,0.00,-0.74,-0.89,-0.90,0.00,0.00,0.00,#VALUE!,-0.84,0.00,0.00,0.00,#VALUE!,-0.85,-0.97,-0.91,-0.04,-0.02,0.00,0.00,0.00,0.00,0.00,-0.81,0.07,-0.31,-0.31,-0.84,0.00,-0.85,-0.70,-0.89,-0.86,0.00,-0.70,,
ncff,0.03,-0.85,-0.84,-0.88,-0.84,0.00,0.00,0.88,-0.90,-0.01,-0.89,-0.79,0.00,0.00,-0.68,-0.74,-0.67,-0.01,-0.01,-0.84,0.00,-0.02,0.00,-0.87,-0.91,0.00,-0.09,-0.08,-0.84,0.00,0.00,0.00,-0.91,-0.89,-0.05,-0.05,0.00,0.00,-0.68,0.00,-0.75,-0.91,0.00,-0.50,-0.44,-0.79,-0.78,-0.83,-0.76,-0.76,-0.73,-0.79,-0.88,-0.75,-0.06,-0.30,-0.04,-0.29,-0.68,0.96,1.00,0.84,-0.68,-0.91,-0.50,-0.76,-0.76,-0.07,0.05,-0.74,0.00,-0.72,-0.90,-0.87,-0.01,0.00,0.00,#VALUE!,-0.84,0.00,0.00,0.00,#VALUE!,-0.86,-0.53,-0.91,-0.05,-0.03,0.00,0.00,0.00,0.00,0.01,-0.82,0.07,-0.31,-0.32,-0.85,0.00,-0.85,-0.67,-0.92,-0.85,0.00,-0.80,,
ncfi,0.02,-0.94,-0.93,-0.95,-0.93,0.00,0.00,0.98,-0.96,-0.01,-0.96,-0.72,0.00,0.00,-0.81,-0.81,-0.81,-0.01,-0.01,-0.95,0.00,-0.02,0.00,-0.83,-0.91,0.00,-0.09,-0.08,-0.78,0.00,0.00,0.00,-0.95,-0.95,-0.05,-0.05,0.00,0.00,-0.67,0.00,-0.87,-0.96,0.00,-0.57,-0.60,-0.89,-0.88,-0.90,-0.86,-0.74,-0.89,-0.90,-0.96,-0.86,-0.07,-0.38,0.15,-0.46,-0.73,0.85,0.84,1.00,-0.45,-0.98,-0.61,-0.69,-0.69,-0.07,0.00,-0.83,0.00,-0.86,-0.89,-0.94,0.00,0.00,0.00,#VALUE!,-0.92,0.00,0.00,0.00,#VALUE!,-0.93,-0.76,-0.97,-0.05,-0.03,0.00,0.00,0.00,0.00,0.00,-0.90,0.08,-0.35,-0.35,-0.87,0.00,-0.94,-0.80,-0.89,-0.94,0.00,-0.78,,
ncfinv,-0.01,0.63,0.62,0.63,0.63,0.00,0.00,-0.53,0.63,-0.01,0.60,0.45,0.00,0.00,0.57,0.66,0.56,0.00,-0.02,0.57,-0.01,0.01,0.00,0.53,0.57,0.00,0.02,0.02,0.49,0.00,0.00,0.00,0.65,0.62,0.00,0.00,0.00,0.00,0.36,0.00,0.55,0.56,0.00,0.35,0.38,0.62,0.60,0.62,0.45,0.68,0.32,0.61,0.61,0.60,0.00,0.22,-0.01,0.06,0.59,-0.69,-0.68,-0.45,1.00,0.53,0.25,0.42,0.42,0.01,0.04,0.66,0.00,0.47,0.54,0.58,0.00,0.00,0.00,#VALUE!,0.64,0.00,0.00,0.00,#VALUE!,0.55,0.02,0.59,0.01,0.01,0.00,0.00,0.00,0.00,-0.02,0.51,-0.05,0.20,0.20,0.45,0.00,0.63,0.61,0.60,0.64,0.00,0.63,,
ncfo,-0.02,0.93,0.91,0.96,0.91,0.00,0.00,-0.97,0.97,0.01,0.96,0.82,0.00,0.00,0.77,0.78,0.76,0.01,0.01,0.94,0.00,0.01,0.00,0.91,0.97,0.00,0.10,0.09,0.87,0.00,0.00,0.00,0.96,0.95,0.05,0.05,0.00,0.00,0.77,0.00,0.85,0.98,0.00,0.56,0.55,0.87,0.86,0.91,0.88,0.78,0.90,0.88,0.96,0.83,0.07,0.48,-0.11,0.48,0.70,-0.89,-0.91,-0.98,0.53,1.00,0.51,0.79,0.79,0.08,-0.02,0.80,0.00,0.81,0.95,0.94,0.00,0.00,0.00,#VALUE!,0.90,0.00,0.00,0.00,#VALUE!,0.95,0.95,0.98,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.89,-0.08,0.35,0.35,0.88,0.00,0.93,0.74,0.96,0.93,0.00,0.83,,
ncfx,0.00,0.65,0.64,0.55,0.66,0.00,0.00,-0.69,0.53,0.00,0.61,0.03,0.00,0.00,0.68,0.69,0.67,0.00,0.00,0.61,0.00,0.02,0.00,0.17,0.30,0.00,0.02,0.01,0.11,0.00,0.00,0.00,0.60,0.64,0.02,0.01,0.00,0.00,-0.10,0.00,0.60,0.49,0.00,0.33,0.57,0.67,0.64,0.52,0.37,0.31,0.39,0.67,0.59,0.68,0.02,-0.40,0.01,0.00,0.66,-0.60,-0.50,-0.61,0.25,0.51,1.00,0.00,0.00,0.00,-0.01,0.69,0.00,0.77,0.31,0.58,0.00,0.00,0.00,#VALUE!,0.67,0.00,0.00,0.00,#VALUE!,0.46,0.22,0.57,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.59,-0.04,0.20,0.20,0.56,0.00,0.65,0.78,0.30,0.66,0.00,0.33,,
netinc,-0.02,0.54,0.52,0.65,0.51,0.00,0.00,-0.68,0.70,0.01,0.66,1.00,0.00,0.00,0.26,0.32,0.25,0.00,0.01,0.55,0.00,0.01,0.00,0.97,0.91,0.00,0.09,0.10,0.99,0.00,0.00,0.00,0.65,0.61,0.04,0.05,0.00,0.00,0.80,0.00,0.46,0.81,0.00,0.38,-0.02,0.42,0.41,0.61,0.68,0.50,0.75,0.44,0.65,0.35,0.07,0.64,-0.11,0.53,0.43,-0.74,-0.76,-0.69,0.42,0.79,0.00,1.00,1.00,0.09,-0.01,0.31,0.00,0.36,0.93,0.68,0.00,0.00,0.00,#VALUE!,0.49,0.00,0.00,0.00,#VALUE!,0.74,0.95,0.73,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.59,-0.05,0.24,0.24,0.84,0.00,0.54,0.21,0.92,0.58,0.00,0.57,,
netinccmn,-0.02,0.54,0.52,0.65,0.51,0.00,0.00,-0.68,0.70,0.01,0.66,1.00,0.00,0.00,0.26,0.32,0.25,0.00,0.01,0.55,0.00,0.01,0.00,0.97,0.91,0.00,0.09,0.10,0.99,0.00,0.00,0.00,0.65,0.61,0.04,0.05,0.00,0.00,0.80,0.00,0.46,0.81,0.00,0.38,-0.02,0.42,0.41,0.61,0.68,0.50,0.75,0.44,0.65,0.35,0.07,0.64,-0.11,0.53,0.43,-0.74,-0.76,-0.69,0.42,0.79,0.00,1.00,1.00,0.09,-0.01,0.31,0.00,0.36,0.93,0.68,0.00,0.00,0.00,#VALUE!,0.49,0.00,0.00,0.00,#VALUE!,0.74,0.95,0.73,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.59,-0.05,0.24,0.24,0.84,0.00,0.54,0.21,0.92,0.58,0.00,0.57,,
netinccmnusd,-0.02,0.06,0.06,0.08,0.06,-0.01,0.00,-0.06,0.09,0.29,0.06,0.09,0.00,0.00,0.03,0.03,0.02,0.21,0.42,0.06,0.20,0.01,0.00,0.08,0.08,0.01,0.94,0.98,0.09,0.01,0.01,0.01,0.07,0.07,0.69,0.63,0.01,0.00,0.08,0.00,0.04,0.09,0.01,0.09,0.00,0.05,0.05,0.06,0.15,0.07,0.10,0.05,0.08,0.03,0.87,0.05,-0.03,0.01,0.03,-0.06,-0.07,-0.07,0.01,0.08,0.00,0.09,0.09,1.00,-0.04,0.02,0.01,0.07,0.09,0.07,0.01,0.00,0.00,#VALUE!,0.05,0.04,-0.01,0.00,#VALUE!,0.09,0.12,0.07,0.69,0.06,0.01,0.01,0.00,0.01,0.30,0.08,0.01,0.23,0.23,0.35,0.00,0.06,0.02,0.08,0.05,0.00,0.08,,
netincdis,0.00,-0.05,-0.05,-0.06,-0.05,0.00,0.00,0.01,-0.02,0.00,-0.10,-0.01,0.00,0.00,-0.04,-0.07,-0.04,-0.01,0.00,0.00,0.00,0.00,0.00,-0.01,-0.01,0.00,-0.03,-0.02,-0.01,0.00,0.00,0.00,-0.05,-0.05,-0.03,-0.02,0.00,0.00,-0.03,0.00,-0.13,-0.06,0.00,-0.33,-0.06,-0.04,-0.04,-0.16,-0.16,-0.04,-0.22,-0.05,-0.07,-0.04,-0.02,-0.01,0.02,-0.03,0.03,0.00,0.05,0.00,0.04,-0.02,-0.01,-0.01,-0.01,-0.04,1.00,0.00,0.00,-0.15,-0.02,-0.11,0.00,0.00,0.00,#VALUE!,-0.02,-0.01,0.00,0.00,#VALUE!,-0.08,-0.19,-0.09,-0.02,0.00,0.00,0.00,0.00,0.00,-0.01,-0.20,0.03,-0.01,-0.01,-0.02,0.00,-0.04,-0.04,0.00,-0.05,0.00,0.00,,
netincnci,-0.01,0.96,0.96,0.90,0.97,0.00,0.00,-0.83,0.88,0.00,0.88,0.36,0.00,0.00,0.99,0.97,0.98,0.01,0.00,0.94,0.00,0.02,0.00,0.54,0.68,0.00,0.05,0.04,0.45,0.00,0.00,0.00,0.90,0.92,0.03,0.02,0.00,0.00,0.48,0.00,0.90,0.75,0.00,0.49,0.88,0.98,0.98,0.87,0.72,0.87,0.62,0.98,0.89,0.99,0.03,0.16,-0.03,0.15,0.72,-0.74,-0.74,-0.83,0.66,0.80,0.69,0.31,0.31,0.02,0.00,1.00,0.00,0.86,0.61,0.83,0.00,0.00,0.00,#VALUE!,0.97,0.00,0.00,0.00,#VALUE!,0.77,0.13,0.84,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.81,-0.07,0.32,0.32,0.80,0.00,0.96,0.97,0.66,0.91,0.00,0.82,,
netmargin,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,1.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.13,0.01,#VALUE!,0.00,0.00,0.00,-0.45,#VALUE!,0.00,0.00,0.00,0.01,0.00,0.10,0.00,0.02,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
opex,-0.13,0.91,0.91,0.89,0.91,0.00,0.00,-0.87,0.85,0.02,0.89,0.40,0.00,0.00,0.87,0.89,0.87,0.02,0.04,0.89,0.01,0.02,0.00,0.55,0.67,0.00,0.11,0.09,0.48,0.00,0.00,0.00,0.90,0.92,0.09,0.06,0.00,0.00,0.40,0.00,0.91,0.83,0.00,0.75,0.73,0.90,0.89,0.90,0.77,0.68,0.79,0.91,0.90,0.89,0.08,0.11,-0.18,0.27,0.73,-0.74,-0.72,-0.86,0.47,0.81,0.77,0.36,0.36,0.07,-0.15,0.86,0.00,1.00,0.65,0.87,0.00,0.00,0.00,#VALUE!,0.89,0.00,0.00,0.00,#VALUE!,0.86,0.91,0.88,0.08,0.17,0.00,0.00,0.00,0.00,0.00,0.95,-0.09,0.35,0.35,0.85,0.00,0.91,0.91,0.65,0.90,0.00,0.75,,
opinc,-0.02,0.80,0.78,0.87,0.77,0.00,0.00,-0.89,0.90,0.01,0.87,0.95,0.00,0.00,0.56,0.61,0.56,0.01,0.00,0.81,0.00,0.01,0.00,0.99,0.99,0.00,0.10,0.10,0.97,0.00,0.00,0.00,0.88,0.85,0.05,0.05,0.00,0.00,0.80,0.00,0.71,0.97,0.00,0.52,0.29,0.71,0.69,0.82,0.83,0.68,0.87,0.72,0.87,0.65,0.08,0.55,-0.11,0.50,0.63,-0.89,-0.90,-0.89,0.54,0.95,0.31,0.93,0.93,0.09,-0.02,0.61,0.00,0.65,1.00,0.88,0.00,0.00,0.00,#VALUE!,0.76,0.00,0.00,0.00,#VALUE!,0.92,0.90,0.92,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.81,-0.07,0.31,0.31,0.87,0.00,0.79,0.54,0.99,0.82,0.00,0.75,,
payables,-0.03,0.95,0.94,0.97,0.94,0.00,0.00,-0.94,0.96,0.01,0.98,0.71,0.00,0.00,0.83,0.87,0.82,0.01,0.02,0.92,0.00,0.02,0.00,0.82,0.89,0.00,0.10,0.09,0.77,0.00,0.00,0.00,0.97,0.97,0.06,0.05,0.00,0.00,0.63,0.00,0.89,0.95,0.00,0.69,0.61,0.90,0.89,0.95,0.88,0.80,0.89,0.92,0.99,0.87,0.08,0.27,-0.13,0.28,0.82,-0.90,-0.87,-0.94,0.58,0.94,0.58,0.68,0.68,0.07,-0.11,0.83,0.00,0.87,0.88,1.00,0.00,0.00,0.00,#VALUE!,0.93,0.00,0.00,0.00,#VALUE!,0.95,0.70,0.98,0.07,0.04,0.00,0.00,0.00,0.00,0.00,0.94,-0.09,0.36,0.36,0.86,0.00,0.95,0.81,0.88,0.92,0.00,0.79,,
payoutratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,-0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.41,#VALUE!,0.00,0.00,0.00,0.00,#VALUE!,0.00,0.01,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.03,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
pb,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,1.00,0.01,#VALUE!,0.00,0.00,0.00,-0.26,#VALUE!,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.03,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
pe,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.41,0.01,1.00,#VALUE!,0.00,0.00,0.00,-0.01,#VALUE!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
pe1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,
ppnenet,-0.01,0.99,1.00,0.97,1.00,0.00,0.00,-0.92,0.96,0.01,0.96,0.53,0.00,0.00,0.96,0.96,0.96,0.01,0.01,0.98,0.00,0.02,0.00,0.69,0.81,0.00,0.07,0.06,0.62,0.00,0.00,0.00,0.97,0.98,0.04,0.04,0.00,0.00,0.59,0.00,0.93,0.87,0.00,0.56,0.81,0.99,0.99,0.93,0.82,0.88,0.75,0.99,0.96,0.99,0.05,0.24,-0.06,0.23,0.77,-0.84,-0.84,-0.92,0.64,0.90,0.67,0.49,0.49,0.05,-0.02,0.97,0.00,0.89,0.76,0.93,0.00,0.00,0.00,#VALUE!,1.00,0.00,0.00,0.00,#VALUE!,0.88,0.89,0.94,0.04,0.02,0.00,0.00,0.00,0.00,0.00,0.89,-0.08,0.35,0.35,0.86,0.00,1.00,0.94,0.79,0.96,0.00,0.86,,
prefdivis,-0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.00,0.19,0.02,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.05,0.00,0.00,0.01,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#VALUE!,0.00,1.00,0.00,0.00,#VALUE!,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.07,0.02,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
price,0.00,0.00,0.00,0.00,0.00,-0.01,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,-0.41,-0.42,-0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#VALUE!,0.00,0.00,1.00,0.00,#VALUE!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.50,0.00,,
