,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital,,
ps,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.45,0.00,0.00,0.00,0.00,-0.26,-0.01,#VALUE!,0.00,0.00,0.00,1.00,#VALUE!,0.00,0.00,0.00,0.00,0.00,-0.03,0.00,0.00,-0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
ps1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,
receivables,-0.08,0.92,0.91,0.96,0.90,0.00,0.00,-0.92,0.95,0.02,0.94,0.77,0.00,0.00,0.76,0.79,0.75,0.01,0.01,0.91,0.01,0.01,0.00,0.87,0.93,0.00,0.12,0.11,0.82,0.00,0.00,0.00,0.96,0.95,0.08,0.06,0.00,0.00,0.73,0.00,0.87,0.98,0.00,0.72,0.55,0.86,0.85,0.94,0.89,0.79,0.91,0.87,0.96,0.81,0.09,0.43,-0.17,0.39,0.72,-0.85,-0.86,-0.93,0.55,0.95,0.46,0.74,0.74,0.09,-0.08,0.77,0.00,0.86,0.92,0.95,0.00,0.00,0.00,#VALUE!,0.88,0.00,0.00,0.00,#VALUE!,1.00,0.94,0.97,0.08,0.11,0.00,0.00,0.00,0.00,0.00,0.94,-0.08,0.34,0.34,0.87,0.00,0.91,0.74,0.91,0.90,0.00,0.87,,
retearn,-0.40,0.85,0.86,0.95,0.83,0.00,0.00,-0.91,0.79,0.04,0.56,0.95,0.00,0.00,0.42,0.38,0.44,0.02,0.02,0.88,0.02,0.01,0.00,0.93,0.96,0.00,0.17,0.13,0.95,0.00,0.00,0.00,0.97,0.97,0.17,0.08,0.00,0.00,0.87,0.00,0.40,0.96,0.00,0.71,0.36,0.76,0.76,0.68,0.41,0.68,0.58,0.60,0.75,0.57,0.12,-0.07,-0.26,-0.14,0.14,-0.97,-0.53,-0.76,0.02,0.95,0.22,0.95,0.95,0.12,-0.19,0.13,0.00,0.91,0.90,0.70,0.01,0.00,0.00,#VALUE!,0.89,0.00,0.00,0.00,#VALUE!,0.94,1.00,0.78,0.16,0.54,0.00,0.00,0.00,0.00,0.01,0.83,-0.02,0.10,0.10,0.27,0.00,0.86,0.72,0.93,0.56,0.00,0.83,,
revenue,-0.04,0.96,0.95,0.98,0.95,0.00,0.00,-0.97,0.98,0.01,0.99,0.76,0.00,0.00,0.82,0.85,0.81,0.01,0.01,0.95,0.00,0.02,0.00,0.87,0.94,0.00,0.09,0.09,0.82,0.00,0.00,0.00,0.99,0.98,0.05,0.05,0.00,0.00,0.70,0.00,0.90,0.98,0.00,0.66,0.60,0.91,0.90,0.96,0.89,0.80,0.91,0.92,0.99,0.87,0.07,0.38,-0.13,0.41,0.77,-0.91,-0.91,-0.97,0.59,0.98,0.57,0.73,0.73,0.07,-0.09,0.84,0.00,0.88,0.92,0.98,0.00,0.00,0.00,#VALUE!,0.94,0.00,0.00,0.00,#VALUE!,0.97,0.78,1.00,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.95,-0.08,0.35,0.35,0.89,0.00,0.96,0.81,0.93,0.96,0.00,0.83,,
revenueusd,-0.05,0.06,0.06,0.07,0.05,0.08,0.00,-0.05,0.07,0.31,0.06,0.05,-0.01,0.01,0.04,0.05,0.04,0.25,0.33,0.05,0.19,0.02,0.00,0.05,0.05,0.01,0.80,0.73,0.05,0.00,0.00,0.00,0.06,0.06,0.71,0.57,-0.02,0.00,0.05,0.00,0.04,0.07,-0.01,0.10,0.02,0.05,0.05,0.07,0.14,0.06,0.07,0.06,0.07,0.04,0.73,0.02,-0.04,0.00,0.03,-0.04,-0.05,-0.05,0.01,0.05,0.02,0.05,0.05,0.69,-0.02,0.03,0.01,0.08,0.05,0.07,0.03,0.00,0.00,#VALUE!,0.04,0.04,0.00,0.00,#VALUE!,0.08,0.16,0.06,1.00,0.08,0.01,0.01,0.00,0.01,0.19,0.08,-0.03,0.29,0.29,0.33,0.00,0.06,0.03,0.05,0.05,0.00,0.07,,
rnd,-0.67,0.04,0.04,0.10,0.03,0.00,0.00,-0.02,0.09,0.02,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.00,0.01,0.00,0.02,0.03,0.00,0.07,0.06,0.02,0.00,0.00,0.00,0.06,0.07,0.07,0.04,0.00,0.00,0.04,0.00,0.04,0.07,0.00,0.17,0.00,0.02,0.02,0.16,0.01,0.02,0.01,0.02,0.05,0.01,0.08,-0.02,-0.26,-0.07,0.01,-0.02,-0.03,-0.03,0.01,0.03,0.02,0.02,0.02,0.06,0.00,0.01,0.00,0.17,0.02,0.04,0.00,0.00,0.00,#VALUE!,0.02,0.00,0.00,0.00,#VALUE!,0.11,0.54,0.06,0.08,1.00,0.00,0.00,0.00,0.00,0.05,0.18,0.01,0.03,0.03,0.18,0.00,0.04,0.00,0.02,0.01,0.00,0.26,,
roa,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.10,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.03,0.00,#VALUE!,0.00,0.00,0.00,-0.03,#VALUE!,0.00,0.00,0.00,0.01,0.00,1.00,0.01,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
roe,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,#VALUE!,0.00,0.00,0.00,0.00,#VALUE!,0.00,0.00,0.00,0.01,0.00,0.01,1.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
roic,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.03,0.00,#VALUE!,0.00,0.00,0.00,0.00,#VALUE!,0.00,0.00,0.00,0.00,0.00,0.00,0.03,1.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
ros,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,1.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.13,0.01,#VALUE!,0.00,0.00,0.00,-0.45,#VALUE!,0.00,0.00,0.00,0.01,0.00,0.10,0.00,0.02,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
sbcomp,0.01,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.01,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.17,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.27,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.29,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.00,0.00,0.00,0.43,0.01,-0.02,0.00,0.00,0.00,0.01,0.00,-0.02,0.00,0.00,0.00,0.00,0.30,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#VALUE!,0.00,0.01,0.00,0.00,#VALUE!,0.00,0.01,0.00,0.19,0.05,0.00,0.00,0.00,0.00,1.00,0.00,0.10,0.04,0.04,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,
sgna,-0.13,0.92,0.92,0.94,0.91,0.00,0.00,-0.89,0.91,0.02,0.95,0.62,0.00,0.00,0.81,0.86,0.80,0.02,0.02,0.90,0.01,0.02,0.00,0.74,0.82,0.00,0.11,0.09,0.68,0.00,0.00,0.00,0.94,0.94,0.08,0.06,0.00,0.00,0.62,0.00,0.92,0.92,0.00,0.83,0.64,0.88,0.87,0.97,0.87,0.75,0.90,0.89,0.95,0.85,0.08,0.30,-0.22,0.39,0.73,-0.81,-0.82,-0.90,0.51,0.89,0.59,0.59,0.59,0.08,-0.20,0.81,0.00,0.95,0.81,0.94,0.00,0.00,0.00,#VALUE!,0.89,0.00,0.00,0.00,#VALUE!,0.94,0.83,0.95,0.08,0.18,0.00,0.00,0.00,0.00,0.00,1.00,-0.09,0.34,0.34,0.88,0.00,0.91,0.80,0.81,0.91,0.00,0.82,,
sharefactor,0.01,-0.08,-0.08,-0.08,-0.08,0.00,-0.04,0.08,-0.08,-0.01,-0.09,-0.05,0.00,0.00,-0.07,-0.08,-0.07,-0.04,-0.04,-0.08,0.00,-0.01,-0.03,-0.06,-0.07,0.00,-0.02,0.00,-0.06,0.04,0.04,0.04,-0.08,-0.08,-0.01,-0.02,0.02,0.00,-0.06,0.03,-0.10,-0.08,0.00,-0.09,-0.06,-0.08,-0.08,-0.09,-0.08,-0.06,-0.08,-0.08,-0.09,-0.07,0.03,-0.03,0.03,-0.04,-0.07,0.07,0.07,0.08,-0.05,-0.08,-0.04,-0.05,-0.05,0.01,0.03,-0.07,0.00,-0.09,-0.07,-0.09,-0.01,0.00,0.00,#VALUE!,-0.08,0.00,-0.05,0.00,#VALUE!,-0.08,-0.02,-0.08,-0.03,0.01,0.00,0.00,0.00,0.00,0.10,-0.09,1.00,-0.19,-0.19,-0.07,-0.04,-0.08,-0.07,-0.07,-0.08,-0.04,-0.05,,
sharesbas,-0.01,0.36,0.36,0.36,0.36,-0.02,0.00,-0.35,0.37,0.15,0.35,0.25,0.00,0.00,0.32,0.34,0.31,0.17,0.20,0.36,0.08,0.01,0.00,0.29,0.33,0.00,0.32,0.25,0.27,0.00,0.00,0.00,0.36,0.36,0.31,0.25,-0.03,0.00,0.26,0.00,0.32,0.35,0.01,0.26,0.24,0.34,0.34,0.34,0.36,0.31,0.31,0.35,0.37,0.33,0.25,0.14,-0.05,0.13,0.26,-0.31,-0.31,-0.35,0.20,0.35,0.20,0.24,0.24,0.23,-0.01,0.32,0.00,0.35,0.31,0.36,0.03,0.00,0.01,#VALUE!,0.35,0.07,0.00,0.00,#VALUE!,0.34,0.10,0.35,0.29,0.03,0.00,0.00,0.00,0.00,0.04,0.34,-0.19,1.00,1.00,1.00,0.00,0.36,0.30,0.32,0.34,0.00,0.28,,
shareswa,-0.01,0.36,0.36,0.36,0.36,-0.02,0.00,-0.35,0.37,0.15,0.35,0.25,0.00,0.00,0.32,0.34,0.31,0.17,0.20,0.36,0.08,0.01,0.00,0.29,0.33,0.00,0.32,0.25,0.27,0.00,0.00,0.00,0.36,0.36,0.32,0.25,-0.03,0.00,0.26,0.00,0.33,0.35,0.01,0.26,0.24,0.34,0.34,0.34,0.36,0.31,0.31,0.35,0.37,0.33,0.25,0.14,-0.05,0.13,0.26,-0.31,-0.32,-0.35,0.20,0.35,0.20,0.24,0.24,0.23,-0.01,0.32,0.00,0.35,0.31,0.36,0.02,0.00,0.01,#VALUE!,0.35,0.02,0.00,0.00,#VALUE!,0.34,0.10,0.35,0.29,0.03,0.00,0.00,0.00,0.00,0.04,0.34,-0.19,1.00,1.00,1.00,0.00,0.36,0.30,0.32,0.34,0.00,0.28,,
shareswadil,-0.09,0.89,0.88,0.93,0.91,-0.02,0.00,-0.88,0.90,0.29,0.88,0.84,0.00,0.00,0.81,0.82,0.84,0.28,0.18,0.88,0.26,0.02,0.00,0.86,0.87,0.00,0.40,0.38,0.85,0.00,0.00,0.00,0.88,0.88,0.40,0.38,-0.01,0.01,0.83,0.00,0.88,0.88,0.01,0.78,0.44,0.87,0.87,0.88,0.89,0.86,0.87,0.88,0.93,0.88,0.37,0.40,-0.44,0.43,0.74,-0.84,-0.85,-0.87,0.45,0.88,0.56,0.84,0.84,0.35,-0.02,0.80,0.00,0.85,0.87,0.86,0.01,0.00,0.00,#VALUE!,0.86,0.08,0.00,0.00,#VALUE!,0.87,0.27,0.89,0.33,0.18,0.00,0.00,0.00,0.00,0.13,0.88,-0.07,1.00,1.00,1.00,0.00,0.88,0.80,0.87,0.87,0.00,0.87,,
sps,0.00,0.00,0.00,0.00,0.00,-0.01,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,-0.85,-0.87,-0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#VALUE!,0.00,0.00,0.50,0.00,#VALUE!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,,
tangibles,-0.03,1.00,1.00,0.98,1.00,0.00,0.00,-0.93,0.97,0.04,0.97,0.58,0.00,0.00,0.95,0.95,0.94,0.04,0.01,0.99,0.03,0.02,0.00,0.73,0.84,0.00,0.09,0.08,0.66,0.00,0.00,0.00,0.98,0.99,0.07,0.06,0.00,0.00,0.62,0.00,0.93,0.90,0.00,0.60,0.79,0.99,0.98,0.95,0.86,0.88,0.80,0.99,0.98,0.98,0.07,0.28,-0.08,0.27,0.77,-0.85,-0.85,-0.94,0.63,0.93,0.65,0.54,0.54,0.06,-0.04,0.96,0.00,0.91,0.79,0.95,0.00,0.00,0.00,#VALUE!,1.00,0.00,0.00,0.00,#VALUE!,0.91,0.86,0.96,0.06,0.04,0.00,0.00,0.00,0.00,0.00,0.91,-0.08,0.36,0.36,0.88,0.00,1.00,0.92,0.82,0.96,0.00,0.87,,
taxassets,0.00,0.92,0.93,0.86,0.94,0.00,0.00,-0.82,0.83,0.00,0.85,0.26,0.00,0.00,0.97,0.96,0.96,0.01,0.00,0.90,0.00,0.02,0.00,0.45,0.59,0.00,0.05,0.04,0.36,0.00,0.00,0.00,0.87,0.89,0.03,0.03,0.00,0.00,0.32,0.00,0.88,0.72,0.00,0.53,0.86,0.96,0.95,0.84,0.68,0.76,0.61,0.95,0.86,0.97,0.03,0.06,-0.04,0.14,0.73,-0.70,-0.67,-0.80,0.61,0.74,0.78,0.21,0.21,0.02,-0.04,0.97,0.00,0.91,0.54,0.81,0.00,0.00,0.00,#VALUE!,0.94,0.00,0.00,0.00,#VALUE!,0.74,0.72,0.81,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.80,-0.07,0.30,0.30,0.80,0.00,0.92,1.00,0.58,0.91,0.00,0.74,,
taxexp,-0.02,0.82,0.81,0.89,0.80,0.00,0.00,-0.89,0.92,0.01,0.89,0.94,0.00,0.00,0.61,0.65,0.61,0.01,0.00,0.83,0.00,0.01,0.00,0.99,1.00,0.00,0.09,0.09,0.97,0.00,0.00,0.00,0.89,0.86,0.04,0.05,0.00,0.00,0.83,0.00,0.74,0.96,0.00,0.50,0.35,0.74,0.73,0.84,0.83,0.75,0.85,0.76,0.89,0.69,0.07,0.57,-0.10,0.49,0.64,-0.89,-0.92,-0.89,0.60,0.96,0.30,0.92,0.92,0.08,0.00,0.66,0.00,0.65,0.99,0.88,0.00,0.00,0.00,#VALUE!,0.79,0.00,0.00,0.00,#VALUE!,0.91,0.93,0.93,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.81,-0.07,0.32,0.32,0.87,0.00,0.82,0.58,1.00,0.84,0.00,0.79,,
taxliabilities,-0.01,0.97,0.95,0.95,0.96,0.00,0.00,-0.96,0.95,0.01,0.96,0.62,0.00,0.00,0.88,0.90,0.88,0.01,0.00,0.95,0.00,0.02,0.00,0.75,0.85,0.00,0.07,0.07,0.69,0.00,0.00,0.00,0.96,0.96,0.04,0.04,0.00,0.00,0.58,0.00,0.91,0.92,0.00,0.59,0.68,0.94,0.93,0.93,0.83,0.78,0.83,0.95,0.96,0.92,0.06,0.35,-0.10,0.43,0.75,-0.86,-0.85,-0.94,0.64,0.93,0.66,0.58,0.58,0.05,-0.05,0.91,0.00,0.90,0.82,0.92,0.00,0.00,0.00,#VALUE!,0.96,0.00,0.00,0.00,#VALUE!,0.90,0.56,0.96,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.91,-0.08,0.34,0.34,0.87,0.00,0.96,0.91,0.84,1.00,0.00,0.81,,
tbvps,0.00,0.00,0.00,0.00,0.00,-0.01,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,0.00,0.00,0.00,0.00,0.00,0.00,-0.83,-0.84,-0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,#VALUE!,0.00,0.00,0.50,0.00,#VALUE!,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.04,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,,
workingcapital,-0.18,0.87,0.88,0.90,0.86,-0.01,0.00,-0.75,0.89,0.08,0.83,0.60,0.00,0.00,0.80,0.78,0.80,0.05,0.01,0.90,0.01,0.02,0.00,0.73,0.81,0.00,0.11,0.10,0.66,0.00,0.00,0.00,0.89,0.88,0.11,0.08,0.00,0.00,0.77,0.00,0.81,0.82,0.00,0.54,0.69,0.86,0.87,0.87,0.83,0.91,0.67,0.85,0.85,0.83,0.08,0.46,-0.05,0.21,0.53,-0.70,-0.80,-0.78,0.63,0.83,0.33,0.57,0.57,0.08,0.00,0.82,0.00,0.75,0.75,0.79,0.00,0.00,0.00,#VALUE!,0.86,0.00,0.00,0.00,#VALUE!,0.87,0.83,0.83,0.07,0.26,0.00,0.00,0.00,0.00,0.01,0.82,-0.05,0.28,0.28,0.87,0.00,0.87,0.74,0.79,0.81,0.00,1.00,,
,101.00,48.00,48.00,48.00,48.00,102.00,95.00,48.00,48.00,98.00,48.00,61.00,102.00,102.00,55.00,54.00,55.00,98.00,102.00,48.00,99.00,102.00,98.00,52.00,49.00,100.00,96.00,96.00,57.00,97.00,97.00,97.00,48.00,48.00,93.00,94.00,102.00,102.00,58.00,98.00,51.00,50.00,102.00,60.00,66.00,51.00,51.00,48.00,51.00,51.00,49.00,51.00,48.00,52.00,96.00,91.00,102.00,95.00,54.00,50.00,51.00,49.00,62.00,48.00,67.00,64.00,64.00,96.00,102.00,55.00,100.00,54.00,49.00,48.00,102.00,102.00,102.00,0.00,50.00,102.00,101.00,102.00,0.00,49.00,58.00,48.00,96.00,100.00,102.00,102.00,102.00,100.00,102.00,48.00,102.00,100.00,100.00,49.00,94.00,48.00,54.00,49.00,48.00,95.00,49.00,,
,2.00,55.00,55.00,55.00,55.00,1.00,8.00,55.00,55.00,5.00,55.00,42.00,1.00,1.00,48.00,49.00,48.00,5.00,1.00,55.00,4.00,1.00,5.00,51.00,54.00,3.00,7.00,7.00,46.00,6.00,6.00,6.00,55.00,55.00,10.00,9.00,1.00,1.00,45.00,5.00,52.00,53.00,1.00,43.00,37.00,52.00,52.00,55.00,52.00,52.00,54.00,52.00,55.00,51.00,7.00,12.00,1.00,8.00,49.00,53.00,52.00,54.00,41.00,55.00,36.00,39.00,39.00,7.00,1.00,48.00,3.00,49.00,54.00,55.00,1.00,1.00,1.00,0.00,53.00,1.00,2.00,1.00,0.00,54.00,45.00,55.00,7.00,3.00,1.00,1.00,1.00,3.00,1.00,55.00,1.00,3.00,3.00,54.00,9.00,55.00,49.00,54.00,55.00,8.00,54.00,,
,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital,,
